# Placement file for Circuit Training
# Source input file(s) : ./output_ariane_NanGate45/23cols_28rows/g500_ub5_nruns10_c5_r3_v3_rc1/netlist.pb.txt
# This file : ./output_ariane_NanGate45/23cols_28rows/g500_ub5_nruns10_c5_r3_v3_rc1/initial.plc
# Date : 2022-09-20 11:30:06
# Columns : 23  Rows : 28
# Width : 1347.100  Height : 1346.800
# Area : 1506097.566312155
# Wirelength : 3610985.229
# Wirelength cost : 0.0526
# Congestion cost : 0.7721
# Density cost : 0.7209
# Project : circuit_training
# Block : unset_block
# Routes per micron, hor : 11.285  ver : 12.605
# Routes used by macros, hor : 7.143  ver : 8.339
# Smoothing factor : 2
# Overlap threshold : 0.004
# 
# 
# 
# Counts of node types:
# HARD_MACROs     :       133
# HARD_MACRO_PINs :      7847
# MACROs          :       943
# MACRO_PINs      :     19658
# PORTs           :       495
# SOFT_MACROs     :       810
# SOFT_MACRO_PINs :     11811
# STDCELLs        :         0
# 
# User comments:
# Original source netlist with standard cells: /home/zf4_projects/DREAMPlace/sakundu/ABK_MP/08162022_flow_scripts/MacroPlacement/Flows/NanGate45/ariane133/run-20220816-035413/flow2_1.3/ariane.pb.txt
# Groups file: ./output_ariane_NanGate45/23cols_28rows/g500_ub5_nruns10_c5_r3_v3_rc1/groups.final
# worst 10 spread
# grp: 744 - spread: 278916.7518893204
# grp: 50 - spread: 268009.6376835485
# grp: 336 - spread: 223800.4868365636
# grp: 535 - spread: 207184.36226282385
# grp: 505 - spread: 197871.97286953646
# grp: 586 - spread: 190713.73374938426
# grp: 756 - spread: 184033.9279079139
# grp: 532 - spread: 173094.29808680012
# grp: 773 - spread: 170707.79035165644
# grp: 347 - spread: 168578.0558490756
# 
# 
# node_index x y orientation fixed
161 0.035 663.950 - 0
162 0.035 666.610 - 0
163 0.035 669.270 - 0
164 0.035 671.930 - 0
165 0.035 674.730 - 0
166 0.035 677.390 - 0
167 0.035 680.050 - 0
168 0.035 682.710 - 0
169 0.035 685.370 - 0
170 0.035 688.030 - 0
171 0.035 690.690 - 0
172 0.035 693.490 - 0
173 0.035 696.150 - 0
174 0.035 698.810 - 0
175 0.035 701.470 - 0
176 0.035 704.130 - 0
177 0.035 706.790 - 0
178 0.035 709.450 - 0
179 0.035 712.250 - 0
180 0.035 714.910 - 0
181 0.035 717.570 - 0
182 0.035 720.230 - 0
183 0.035 722.890 - 0
184 0.035 725.550 - 0
185 0.035 728.210 - 0
186 0.035 731.010 - 0
187 0.035 733.670 - 0
188 0.035 736.330 - 0
189 0.035 738.990 - 0
190 0.035 741.650 - 0
191 0.035 744.310 - 0
192 0.035 747.110 - 0
193 0.035 749.770 - 0
194 0.035 752.430 - 0
195 0.035 755.090 - 0
196 0.035 757.750 - 0
197 0.035 760.410 - 0
198 0.035 763.070 - 0
199 0.035 765.870 - 0
200 0.035 768.530 - 0
201 0.035 771.190 - 0
202 0.035 773.850 - 0
203 0.035 776.510 - 0
204 0.035 779.170 - 0
205 0.035 781.830 - 0
206 0.035 784.630 - 0
207 0.035 787.290 - 0
208 0.035 789.950 - 0
209 0.035 792.610 - 0
210 0.035 795.270 - 0
211 0.035 797.930 - 0
212 0.035 800.590 - 0
213 0.035 803.390 - 0
214 0.035 806.050 - 0
215 0.035 808.710 - 0
216 0.035 811.370 - 0
217 0.035 814.030 - 0
218 0.035 816.690 - 0
219 0.035 819.350 - 0
220 0.035 822.150 - 0
221 0.035 824.810 - 0
222 0.035 827.470 - 0
223 0.035 830.130 - 0
224 0.035 832.790 - 0
225 0.035 835.450 - 0
226 0.035 838.110 - 0
227 0.035 840.910 - 0
228 0.035 843.570 - 0
229 0.035 846.230 - 0
230 0.035 848.890 - 0
231 0.035 851.550 - 0
232 0.035 854.210 - 0
233 0.035 856.870 - 0
234 0.035 859.670 - 0
235 0.035 862.330 - 0
236 0.035 864.990 - 0
237 0.035 867.650 - 0
238 0.035 870.310 - 0
239 0.035 872.970 - 0
240 0.035 875.770 - 0
241 0.035 878.430 - 0
242 0.035 881.090 - 0
243 0.035 883.750 - 0
244 0.035 886.410 - 0
245 0.035 889.070 - 0
246 0.035 891.730 - 0
247 0.035 894.530 - 0
248 0.035 897.190 - 0
249 0.035 899.850 - 0
250 0.035 902.510 - 0
251 0.035 905.170 - 0
252 0.035 907.830 - 0
253 0.035 910.490 - 0
254 0.035 913.290 - 0
255 0.035 915.950 - 0
256 0.035 918.610 - 0
257 0.035 921.270 - 0
258 0.035 923.930 - 0
259 0.035 926.590 - 0
260 0.035 929.250 - 0
261 0.035 932.050 - 0
262 0.035 934.710 - 0
263 0.035 937.370 - 0
264 0.035 940.030 - 0
265 0.035 942.690 - 0
266 0.035 945.350 - 0
267 0.035 948.010 - 0
268 0.035 950.810 - 0
269 0.035 953.470 - 0
270 0.035 956.130 - 0
271 0.035 958.790 - 0
272 0.035 961.450 - 0
273 0.035 964.110 - 0
274 0.035 966.770 - 0
275 0.035 969.570 - 0
276 0.035 972.230 - 0
277 0.035 974.890 - 0
278 0.035 977.550 - 0
279 0.035 980.210 - 0
280 0.035 982.870 - 0
281 0.035 985.530 - 0
282 0.035 988.330 - 0
283 0.035 990.990 - 0
284 0.035 993.650 - 0
285 0.035 996.310 - 0
286 0.035 998.970 - 0
287 0.035 1001.630 - 0
288 0.035 1004.430 - 0
289 0.035 1007.090 - 0
290 0.035 1009.750 - 0
291 0.035 1012.410 - 0
292 0.035 1015.070 - 0
293 0.035 1017.730 - 0
294 0.035 1020.390 - 0
295 0.035 1023.190 - 0
296 0.035 1025.850 - 0
297 0.035 1028.510 - 0
298 0.035 1031.170 - 0
299 0.035 1033.830 - 0
300 0.035 1036.490 - 0
301 0.035 1039.150 - 0
302 0.035 1041.950 - 0
303 0.035 1044.610 - 0
304 0.035 1047.270 - 0
305 0.035 1049.930 - 0
306 0.035 1052.590 - 0
307 0.035 1055.250 - 0
308 0.035 1057.910 - 0
309 0.035 1060.710 - 0
310 0.035 1063.370 - 0
311 0.035 1066.030 - 0
312 0.035 1068.690 - 0
313 0.035 1071.350 - 0
314 0.035 1074.010 - 0
315 0.035 1076.670 - 0
316 0.035 1079.470 - 0
317 0.035 1082.130 - 0
318 0.035 1084.790 - 0
319 0.035 1087.450 - 0
320 0.035 1090.110 - 0
321 0.035 1092.770 - 0
322 0.035 1095.430 - 0
323 0.035 1098.230 - 0
324 0.035 1100.890 - 0
325 0.035 1103.550 - 0
326 0.035 1106.210 - 0
327 0.035 1108.870 - 0
328 0.035 1111.530 - 0
329 0.035 1114.330 - 0
330 0.070 232.470 - 0
331 0.070 237.790 - 0
332 0.070 243.110 - 0
333 0.070 248.430 - 0
334 0.070 253.750 - 0
335 0.070 259.350 - 0
336 0.070 264.670 - 0
337 0.070 269.990 - 0
338 0.070 275.310 - 0
339 0.070 280.630 - 0
340 0.070 286.230 - 0
341 0.070 291.550 - 0
342 0.070 296.870 - 0
343 0.070 302.190 - 0
344 0.070 307.510 - 0
345 0.070 313.110 - 0
346 0.070 318.430 - 0
347 0.070 323.750 - 0
348 0.070 329.070 - 0
349 0.070 334.390 - 0
350 0.070 339.990 - 0
351 0.070 345.310 - 0
352 0.070 350.630 - 0
353 0.070 355.950 - 0
354 0.070 361.270 - 0
355 0.070 366.870 - 0
356 0.070 372.190 - 0
357 0.070 377.510 - 0
358 0.070 382.830 - 0
359 0.070 388.150 - 0
360 0.070 393.750 - 0
361 0.070 399.070 - 0
362 0.070 404.390 - 0
363 0.070 409.710 - 0
364 0.070 415.030 - 0
365 0.070 420.630 - 0
366 0.070 425.950 - 0
367 0.070 431.270 - 0
368 0.070 436.590 - 0
369 0.070 441.910 - 0
370 0.070 447.510 - 0
371 0.070 452.830 - 0
372 0.070 458.150 - 0
373 0.070 463.470 - 0
374 0.070 468.790 - 0
375 0.070 474.390 - 0
376 0.070 479.710 - 0
377 0.070 485.030 - 0
378 0.070 490.350 - 0
379 0.070 495.670 - 0
380 0.070 501.270 - 0
381 0.070 506.590 - 0
382 0.070 511.910 - 0
383 0.070 517.230 - 0
384 0.070 522.550 - 0
385 0.070 528.150 - 0
386 0.070 533.470 - 0
387 0.070 538.790 - 0
388 0.070 544.110 - 0
389 0.070 549.430 - 0
390 0.070 555.030 - 0
391 0.070 560.350 - 0
392 0.070 565.670 - 0
393 0.070 570.990 - 0
394 0.070 576.310 - 0
395 0.070 581.910 - 0
396 0.070 587.230 - 0
397 0.070 592.550 - 0
398 0.070 597.870 - 0
399 0.070 603.190 - 0
400 0.070 608.790 - 0
401 0.070 614.110 - 0
402 0.070 619.430 - 0
403 0.070 624.750 - 0
404 0.070 630.070 - 0
405 0.070 635.670 - 0
406 0.070 640.990 - 0
407 0.070 646.310 - 0
408 0.070 651.630 - 0
409 0.070 656.950 - 0
410 0.070 662.550 - 0
411 0.070 667.870 - 0
412 0.070 673.190 - 0
413 0.070 678.510 - 0
414 0.070 683.830 - 0
415 0.070 689.430 - 0
416 0.070 694.750 - 0
417 0.070 700.070 - 0
418 0.070 705.390 - 0
419 0.070 710.710 - 0
420 0.070 716.310 - 0
421 0.070 721.630 - 0
422 0.070 726.950 - 0
423 0.070 732.270 - 0
424 0.070 737.590 - 0
425 0.070 743.190 - 0
426 0.070 748.510 - 0
427 0.070 753.830 - 0
428 0.070 759.150 - 0
429 0.070 764.470 - 0
430 0.070 770.070 - 0
431 0.070 775.390 - 0
432 0.070 780.710 - 0
433 0.070 786.030 - 0
434 0.070 791.350 - 0
435 0.070 796.950 - 0
436 0.070 802.270 - 0
437 0.070 807.590 - 0
438 0.070 812.910 - 0
439 0.070 818.230 - 0
440 0.070 823.830 - 0
441 0.070 829.150 - 0
442 0.070 834.470 - 0
443 0.070 839.790 - 0
444 0.070 845.110 - 0
445 0.070 850.710 - 0
446 0.070 856.030 - 0
447 0.070 861.350 - 0
448 0.070 866.670 - 0
449 0.070 871.990 - 0
450 0.070 877.590 - 0
451 0.070 882.910 - 0
452 0.070 888.230 - 0
453 0.070 893.550 - 0
454 0.070 898.870 - 0
455 0.070 904.470 - 0
456 0.070 909.790 - 0
457 0.070 915.110 - 0
458 0.070 920.430 - 0
459 0.070 925.750 - 0
460 0.070 931.350 - 0
461 0.070 936.670 - 0
462 0.070 941.990 - 0
463 0.070 947.310 - 0
464 0.070 952.630 - 0
465 0.070 958.230 - 0
466 0.070 963.550 - 0
467 0.070 968.870 - 0
468 0.070 974.190 - 0
469 0.070 979.510 - 0
470 0.070 985.110 - 0
471 0.070 990.430 - 0
472 0.070 995.750 - 0
473 0.070 1001.070 - 0
474 0.070 1006.390 - 0
475 0.070 1011.990 - 0
476 0.070 1017.310 - 0
477 0.070 1022.630 - 0
478 0.070 1027.950 - 0
479 0.070 1033.270 - 0
480 0.070 1038.870 - 0
481 0.070 1044.190 - 0
482 0.070 1049.510 - 0
483 0.070 1054.830 - 0
484 0.070 1060.150 - 0
485 0.070 1065.750 - 0
486 0.070 1071.070 - 0
487 0.070 1076.390 - 0
488 0.070 1081.710 - 0
489 0.070 1087.030 - 0
490 0.070 1092.630 - 0
491 0.070 1097.950 - 0
492 0.070 1103.270 - 0
493 0.070 1108.590 - 0
494 0.070 1114.190 - 0
495 1110.400 841.500 N 0
555 1177.960 595.100 N 0
615 1177.960 761.500 N 0
675 1110.400 554.500 N 0
735 1245.600 1262.700 N 0
795 1245.600 83.900 N 0
855 1313.240 831.700 N 0
915 1177.960 83.900 N 0
975 704.485 527.900 N 0
1035 907.405 389.300 N 0
1095 1042.760 554.500 N 0
1155 1178.040 932.500 N 0
1215 1313.240 544.700 N 0
1275 1313.240 688.700 N 0
1335 1245.600 582.500 N 0
1395 1313.240 1262.700 N 0
1455 1313.240 83.900 N 0
1515 1313.240 975.700 N 0
1575 1110.400 83.900 S 0
1635 907.405 533.500 N 0
1695 839.835 397.700 N 0
1755 975.045 534.900 N 0
1815 1245.600 921.300 N 0
1875 1313.240 400.500 N 0
1935 1245.600 751.700 N 0
1995 1245.600 414.500 N 0
2055 1178.040 1262.700 S 0
2115 1313.240 256.100 N 0
2175 1251.310 1118.700 N 0
2235 1110.400 253.300 S 0
2295 772.125 541.900 N 0
2355 772.125 385.100 N 0
2415 839.835 541.900 N 0
2475 1042.760 841.500 N 0
2535 1177.960 424.300 N 0
2595 1110.400 698.500 S 0
2655 1110.400 410.300 N 0
2715 1183.670 1097.700 N 0
2775 1245.600 247.700 N 0
2835 1116.090 1097.700 N 0
2895 1177.960 247.700 N 0
2955 636.915 518.100 N 0
3015 975.045 390.700 N 0
3075 1042.690 390.700 N 0
3135 163.435 970.100 S 0
3195 772.195 978.500 S 0
3255 632.355 830.300 N 0
3315 501.565 971.500 N 0
3375 231.075 940.700 S 0
3435 839.765 973.100 N 0
3495 565.475 681.700 S 0
3555 574.905 1125.700 N 0
3615 501.635 366.900 N 0
3675 636.915 366.900 N 0
3735 636.915 75.500 S 0
3795 366.285 979.900 N 0
3855 1048.390 985.500 N 0
3915 1042.760 698.500 N 0
3975 433.995 979.900 S 0
4035 169.135 1122.900 N 0
4095 777.895 1269.900 N 0
4155 700.685 671.900 N 0
4215 507.265 1269.900 N 0
4275 501.635 75.500 S 0
4335 907.405 79.900 N 0
4395 1042.690 79.900 N 0
4455 298.645 970.100 N 0
4515 980.745 985.500 N 0
4575 903.605 820.500 N 0
4635 439.695 1125.700 N 0
4695 101.495 1117.300 N 0
4755 710.185 1269.900 N 0
4815 768.325 685.900 N 0
4875 574.905 1269.900 N 0
4935 569.205 75.500 N 0
4995 704.485 223.900 N 0
5055 975.045 79.900 N 0
5115 169.135 1269.900 N 0
5175 1110.320 1262.700 N 0
5235 975.045 698.500 N 0
5295 304.345 1269.900 N 0
5355 101.495 1269.900 S 0
5415 913.105 1261.500 N 0
5475 633.115 662.100 S 0
5535 710.185 1125.700 N 0
5595 366.355 75.500 S 0
5655 772.125 231.100 N 0
5715 839.835 79.900 N 0
5775 236.775 1269.900 N 0
5835 913.105 1117.300 N 0
5895 907.405 677.500 N 0
5955 372.055 1125.700 N 0
6015 33.855 1122.900 N 0
6075 845.465 1269.900 N 0
6135 497.075 803.700 N 0
6195 642.545 1269.900 N 0
6255 433.995 75.500 S 0
6315 636.915 223.900 N 0
6375 1042.690 238.100 N 0
6435 33.855 1269.900 N 0
6495 980.745 1128.500 N 0
6555 835.205 828.900 N 0
6615 439.695 1269.900 N 0
6675 33.855 979.900 S 0
6735 777.895 1125.700 N 0
6795 767.565 830.300 N 0
6855 642.545 1125.700 N 0
6915 501.635 218.500 N 0
6975 839.835 242.300 N 0
7035 975.045 246.500 N 0
7095 236.775 1122.900 N 0
7155 1042.690 1272.700 N 0
7215 835.965 685.900 N 0
7275 372.055 1269.900 N 0
7335 33.855 835.700 S 0
7395 975.045 841.500 N 0
7455 564.715 827.500 N 0
7515 636.845 978.500 N 0
7575 569.205 223.900 N 0
7635 907.405 230.900 N 0
7695 704.485 75.500 N 0
7755 304.345 1122.900 N 0
7815 845.465 1117.300 N 0
7875 704.485 978.500 N 0
7935 507.265 1125.700 N 0
7995 101.875 825.900 S 0
8055 907.405 964.500 N 0
8115 699.925 830.300 N 0
8175 569.205 978.500 N 0
8235 433.995 361.300 N 0
8295 704.485 373.900 N 0
8355 772.125 75.500 N 0
8415 569.205 366.900 S 0
8475 1147.924 519.771 N 0
8510 1121.068 772.375 N 0
8530 1099.112 484.324 N 0
8550 1021.974 471.144 N 0
8564 1138.980 989.011 N 0
8586 1145.401 325.330 N 0
8618 1013.386 616.272 N 0
8662 967.417 461.058 N 0
8703 1036.043 628.743 N 0
8733 1183.753 846.440 N 0
8739 1201.745 524.430 N 0
8746 1175.089 830.464 N 0
8749 1094.576 630.328 N 0
8753 1261.087 1006.050 N 0
8756 1144.223 225.623 N 0
8762 982.616 623.474 N 0
8770 952.123 466.007 N 0
8775 966.522 625.823 N 0
8786 1171.630 852.716 N 0
8792 1143.850 482.722 N 0
8801 1133.416 772.875 N 0
8805 1046.685 482.841 N 0
8808 1149.770 1171.479 N 0
8825 1163.246 336.912 N 0
8837 1165.780 1029.189 N 0
8845 1010.960 625.973 N 0
8865 903.418 462.861 N 0
8869 974.330 612.846 N 0
8878 1077.511 820.016 N 0
8883 1123.136 482.299 N 0
8890 1075.609 755.030 N 0
8894 1020.192 479.741 N 0
8897 1126.601 997.672 N 0
8901 1158.694 352.480 N 0
8906 817.934 463.201 N 0
8915 977.923 459.532 N 0
8922 995.012 462.592 N 0
8928 282.855 1045.935 N 0
8966 810.465 1048.832 N 0
8985 803.419 886.535 N 0
9030 468.704 1050.208 N 0
9066 225.718 1015.249 N 0
9098 766.008 1051.236 N 0
9149 678.544 919.834 N 0
9236 538.498 1052.339 N 0
9283 514.143 291.555 N 0
9328 754.860 302.842 N 0
9357 812.269 161.156 N 0
9392 330.031 1046.386 N 0
9404 909.587 1041.773 N 0
9425 978.038 769.152 N 0
9445 512.716 1056.615 N 0
9455 220.969 1048.047 N 0
9473 891.854 1040.303 N 0
9489 725.610 915.057 N 0
9530 587.279 293.028 N 0
9550 821.526 325.573 N 0
9568 815.680 310.328 N 0
9580 270.514 1071.114 N 0
9587 822.399 1044.163 N 0
9602 526.105 1053.048 N 0
9608 267.594 1041.628 N 0
9617 849.292 1045.854 N 0
9624 779.918 761.090 N 0
9636 557.930 1053.595 N 0
9657 615.887 291.454 N 0
9664 700.310 296.596 N 0
9670 237.994 1194.735 N 0
9680 201.877 1089.916 N 0
9686 806.695 910.925 N 0
9712 612.152 1057.692 N 0
9720 532.287 288.561 N 0
9726 717.199 295.866 N 0
9732 737.547 246.210 N 0
9738 308.112 1195.055 N 0
9745 872.909 1047.079 N 0
9752 481.025 1044.920 N 0
9771 197.988 1008.450 N 0
9780 602.733 901.932 N 0
9794 633.423 292.561 N 0
9818 685.652 296.985 N 0
9828 875.585 1038.433 N 0
9836 668.121 754.203 N 0
9856 262.980 1014.811 N 0
9872 792.909 1053.723 N 0
9880 811.391 899.550 N 0
9888 625.562 1047.597 N 0
9902 578.107 294.520 N 0
9911 751.368 313.226 N 0
9925 340.547 1053.964 N 0
9932 716.899 900.727 N 0
9955 197.861 879.650 N 0
9964 921.172 892.403 N 0
9969 593.918 906.488 N 0
9983 471.038 898.397 N 0
9995 605.671 296.980 N 0
10010 745.442 296.449 N 0
10021 276.801 899.239 N 0
10027 812.727 1068.318 N 0
10033 668.819 903.695 N 0
10040 537.604 1033.961 N 0
10045 276.968 889.211 N 0
10050 806.087 974.051 N 0
10059 667.511 902.214 N 0
10072 500.932 873.571 N 0
10079 438.482 437.336 N 0
10087 721.175 450.190 N 0
10107 730.604 298.124 N 0
10120 473.398 434.606 N 0
10127 326.434 523.366 N 0
10154 304.935 483.817 N 0
10175 274.397 492.465 N 0
10191 273.901 515.405 N 0
10215 262.984 502.210 N 0
10231 267.833 588.435 N 0
10247 262.806 623.276 N 0
10258 259.155 735.243 N 0
10295 222.719 618.051 N 0
10316 206.796 672.720 N 0
10340 412.946 901.473 N 0
10359 355.739 902.862 N 0
10383 291.046 897.507 N 0
10396 603.577 566.209 N 0
10416 725.549 600.274 N 0
10428 786.812 611.142 N 0
10434 522.343 900.207 N 0
10468 536.609 911.503 N 0
10474 593.333 761.163 N 0
10478 990.437 627.374 N 0
10492 986.446 610.611 N 0
10512 1071.285 476.460 N 0
10542 738.013 768.121 N 0
10547 524.584 721.972 N 0
10577 857.168 637.587 N 0
10599 755.581 608.667 N 0
10616 550.157 576.785 N 0
10624 922.529 750.956 N 0
10637 882.761 610.474 N 0
10667 876.878 258.484 N 0
10670 523.472 732.180 N 0
10687 487.674 902.436 N 0
10690 384.353 468.132 N 0
10704 392.211 875.884 N 0
10716 740.898 734.847 N 0
10725 518.008 889.543 N 0
10749 732.160 752.700 N 0
10767 507.945 921.810 N 0
10778 677.039 934.874 N 0
10782 670.952 643.861 N 0
10789 641.831 760.137 N 0
10808 1085.725 918.725 N 0
10821 654.323 710.971 N 0
10827 733.604 616.516 N 0
10838 597.672 736.539 N 0
10847 519.727 881.045 N 0
10853 401.090 683.733 N 0
10868 426.579 811.116 N 0
10885 560.484 756.372 N 0
10891 714.897 925.364 N 0
10904 699.719 563.509 N 0
10911 621.978 537.602 N 0
10920 872.372 900.231 N 0
10950 757.844 911.266 N 0
10974 530.430 1044.814 N 0
11000 938.844 895.374 N 0
11021 541.033 436.542 N 0
11034 674.663 453.087 N 0
11047 734.518 304.999 N 0
11056 737.127 1057.969 N 0
11078 704.624 904.949 N 0
11101 435.425 905.000 N 0
11121 300.874 1044.479 N 0
11144 786.069 1052.110 N 0
11160 751.163 450.651 N 0
11177 378.447 539.583 N 0
11185 483.879 695.749 N 0
11193 456.728 908.842 N 0
11201 284.987 870.070 N 0
11209 659.346 593.756 N 0
11225 588.094 436.991 N 0
11231 700.939 773.636 N 0
11236 784.743 634.655 N 0
11242 571.912 514.830 N 0
11246 903.029 901.415 N 0
11263 523.187 555.647 N 0
11270 686.381 530.118 N 0
11280 598.263 580.376 N 0
11285 614.467 931.712 N 0
11309 491.434 546.277 N 0
11323 739.592 606.343 N 0
11328 597.106 455.708 N 0
11342 333.236 900.611 N 0
11357 567.090 724.659 N 0
11361 812.786 609.420 N 0
11365 828.970 490.984 N 0
11373 481.124 534.563 N 0
11381 717.871 952.900 N 0
11413 422.009 680.992 N 0
11431 769.533 618.600 N 0
11435 377.186 633.198 N 0
11443 534.085 556.175 N 0
11472 860.972 1045.184 N 0
11480 538.671 901.668 N 0
11505 686.452 909.059 N 0
11509 375.381 873.692 N 0
11525 652.496 480.854 N 0
11545 789.533 758.258 N 0
